Type,N,Algorithm,Time_ms,CharCmp
Random,2100,MSDRadix+Quick,0.902217,13408
Random,2200,StdQuickSort,3.09461,101532
Random,2200,StdMergeSort,2.14411,30735
Random,2200,3WayQuickSort,1.28071,40265
Random,2200,StringMergeSort,3.43028,52228
Random,2200,MSDRadixSort,3.11322,0
Random,2200,MSDRadix+Quick,0.875475,14108
Random,2300,StdQuickSort,2.96806,107096
Random,2300,StdMergeSort,3.47774,32499
Random,2300,3WayQuickSort,1.36384,38863
Random,2300,StringMergeSort,3.33268,55152
Random,2300,MSDRadixSort,3.68549,0
Random,2300,MSDRadix+Quick,0.89125,15210
Random,2400,StdQuickSort,3.1108,114175
Random,2400,StdMergeSort,2.43091,34291
Random,2400,3WayQuickSort,1.33546,43158
Random,2400,StringMergeSort,3.46106,58016
Random,2400,MSDRadixSort,3.23298,0
Random,2400,MSDRadix+Quick,0.936791,16262
Random,2500,StdQuickSort,3.19708,116714
Random,2500,StdMergeSort,2.37785,35967
Random,2500,3WayQuickSort,1.33559,45867
Random,2500,StringMergeSort,3.58894,60837
Random,2500,MSDRadixSort,3.42237,0
Random,2500,MSDRadix+Quick,0.970842,16971
Random,2600,StdQuickSort,3.29504,120197
Random,2600,StdMergeSort,2.48943,37701
Random,2600,3WayQuickSort,1.44518,46094
Random,2600,StringMergeSort,3.9451,63629
Random,2600,MSDRadixSort,3.67994,0
Random,2600,MSDRadix+Quick,1.05964,18001
Random,2700,StdQuickSort,3.55648,124052
Random,2700,StdMergeSort,2.65478,39616
Random,2700,3WayQuickSort,1.52104,49292
Random,2700,StringMergeSort,4.01283,66638
Random,2700,MSDRadixSort,3.90284,0
Random,2700,MSDRadix+Quick,1.10185,19276
Random,2800,StdQuickSort,3.67225,131503
Random,2800,StdMergeSort,2.74408,41453
Random,2800,3WayQuickSort,1.55915,50973
Random,2800,StringMergeSort,4.15366,69586
Random,2800,MSDRadixSort,4.39169,0
Random,2800,MSDRadix+Quick,1.16297,20264
Random,2900,StdQuickSort,3.97671,137891
Random,2900,StdMergeSort,2.91949,43275
Random,2900,3WayQuickSort,1.59982,54485
Random,2900,StringMergeSort,4.54553,72584
Random,2900,MSDRadixSort,4.31163,0
Random,2900,MSDRadix+Quick,1.19687,20938
Random,3000,StdQuickSort,3.89885,139830
Random,3000,StdMergeSort,2.9397,45102
Random,3000,3WayQuickSort,1.63403,54792
Random,3000,StringMergeSort,4.43315,75454
Random,3000,MSDRadixSort,4.54595,0
Random,3000,MSDRadix+Quick,1.23349,22234
Reversed,100,StdQuickSort,0.0349,1403
Reversed,100,StdMergeSort,0.0438252,686
Reversed,100,3WayQuickSort,0.0460418,1380
Reversed,100,StringMergeSort,0.069492,1026
Reversed,100,MSDRadixSort,0.184108,0
Reversed,100,MSDRadix+Quick,0.101175,1367
Reversed,200,StdQuickSort,0.054608,1527
Reversed,200,StdMergeSort,0.110717,1902
Reversed,200,3WayQuickSort,0.109225,3323
Reversed,200,StringMergeSort,0.151667,2289
Reversed,200,MSDRadixSort,0.322292,0
Reversed,200,MSDRadix+Quick,0.154767,3475
Reversed,300,StdQuickSort,0.058567,1526
Reversed,300,StdMergeSort,0.155692,2395
Reversed,300,3WayQuickSort,0.300591,6092
Reversed,300,StringMergeSort,0.242258,3703
Reversed,300,MSDRadixSort,0.453692,0
Reversed,300,MSDRadix+Quick,0.258,5266
Reversed,400,StdQuickSort,0.0792998,2125
Reversed,400,StdMergeSort,0.215742,3241
Reversed,400,3WayQuickSort,0.380242,7512
Reversed,400,StringMergeSort,0.335608,5002
Reversed,400,MSDRadixSort,0.667108,0
Reversed,400,MSDRadix+Quick,0.383342,6709
Reversed,500,StdQuickSort,0.1022,2786
Reversed,500,StdMergeSort,0.2783,4374
Reversed,500,3WayQuickSort,0.408592,10319
