Type,N,Algorithm,Time_ms,CharCmp
Random,100,StdQuickSort,0.0916584,3652
Random,100,StdMergeSort,0.0523668,601
Random,100,3WayQuickSort,0.0352416,974
Random,100,StringMergeSort,0.0936918,1149
Random,100,MSDRadixSort,0.173942,0
Random,100,MSDRadix+Quick,0.0258416,104
Random,200,StdQuickSort,0.182792,6978
Random,200,StdMergeSort,0.128275,1536
Random,200,3WayQuickSort,0.0921332,3174
Random,200,StringMergeSort,0.186275,2778
Random,200,MSDRadixSort,0.365717,0
Random,200,MSDRadix+Quick,0.0606582,348
Random,300,StdQuickSort,0.300742,11861
Random,300,StdMergeSort,0.208725,2497
Random,300,3WayQuickSort,0.123725,4202
Random,300,StringMergeSort,0.287133,4580
Random,300,MSDRadixSort,0.454558,0
Random,300,MSDRadix+Quick,0.0770748,707
Random,400,StdQuickSort,0.412183,16081
Random,400,StdMergeSort,0.277709,3640
Random,400,3WayQuickSort,0.189508,6891
Random,400,StringMergeSort,0.429442,6608
Random,400,MSDRadixSort,0.526867,0
Random,400,MSDRadix+Quick,0.107067,1133
Random,500,StdQuickSort,0.517133,20409
Random,500,StdMergeSort,0.355892,4905
Random,500,3WayQuickSort,0.233284,7351
Random,500,StringMergeSort,0.545308,8786
Random,500,MSDRadixSort,0.643533,0
Random,500,MSDRadix+Quick,0.143483,1670
Random,600,StdQuickSort,0.621358,23204
Random,600,StdMergeSort,0.445417,6147
Random,600,3WayQuickSort,0.296166,10431
Random,600,StringMergeSort,0.6787,10883
Random,600,MSDRadixSort,0.763867,0
Random,600,MSDRadix+Quick,0.174617,2187
Random,700,StdQuickSort,0.7453,29076
Random,700,StdMergeSort,0.5163,7525
Random,700,3WayQuickSort,0.324258,11064
Random,700,StringMergeSort,0.79745,13192
Random,700,MSDRadixSort,0.807767,0
Random,700,MSDRadix+Quick,0.210258,2810
Random,800,StdQuickSort,0.886042,33228
Random,800,StdMergeSort,0.607758,8962
Random,800,3WayQuickSort,0.4129,15517
Random,800,StringMergeSort,0.954909,15524
Random,800,MSDRadixSort,0.8963,0
Random,800,MSDRadix+Quick,0.272708,3424
Random,900,StdQuickSort,0.961258,38111
Random,900,StdMergeSort,0.721025,10493
Random,900,3WayQuickSort,0.423692,15394
Random,900,StringMergeSort,1.0669,17933
Random,900,MSDRadixSort,1.00496,0
Random,900,MSDRadix+Quick,0.287708,4115
Random,1000,StdQuickSort,1.12264,43064
Random,1000,StdMergeSort,0.799475,11982
Random,1000,3WayQuickSort,0.501917,17478
Random,1000,StringMergeSort,1.2194,20411
Random,1000,MSDRadixSort,1.07626,0
Random,1000,MSDRadix+Quick,0.329408,4769
Random,1100,StdQuickSort,1.27152,50639
Random,1100,StdMergeSort,0.9092,13254
Random,1100,3WayQuickSort,0.569658,21768
Random,1100,StringMergeSort,1.34849,22817
Random,1100,MSDRadixSort,1.20463,0
Random,1100,MSDRadix+Quick,0.354075,5404
Random,1200,StdQuickSort,1.36709,52697
Random,1200,StdMergeSort,1.00452,14509
Random,1200,3WayQuickSort,0.63215,24221
Random,1200,StringMergeSort,1.50043,25294
Random,1200,MSDRadixSort,1.36738,0
