Type,N,Algorithm,Time_ms,CharCmp
Random,100,StdQuickSort,0.0949418,4272
Random,100,StdMergeSort,0.0514332,599
Random,100,3WayQuickSort,0.0346254,1024
Random,100,StringMergeSort,0.0779668,1143
Random,100,MSDRadixSort,0.177283,0
Random,100,MSDRadix+Quick,0.0282836,79
Random,200,StdQuickSort,0.179283,7364
Random,200,StdMergeSort,0.114625,1522
Random,200,3WayQuickSort,0.073075,2263
Random,200,StringMergeSort,0.188642,2776
Random,200,MSDRadixSort,0.361992,0
Random,200,MSDRadix+Quick,0.04985,314
Random,300,StdQuickSort,0.303392,12239
Random,300,StdMergeSort,0.217241,2519
Random,300,3WayQuickSort,0.110741,3474
Random,300,StringMergeSort,0.296384,4625
Random,300,MSDRadixSort,0.447208,0
Random,300,MSDRadix+Quick,0.0788334,652
Random,400,StdQuickSort,0.420317,16780
Random,400,StdMergeSort,0.286858,3652
Random,400,3WayQuickSort,0.158342,5024
Random,400,StringMergeSort,0.408308,6630
Random,400,MSDRadixSort,0.508008,0
Random,400,MSDRadix+Quick,0.108208,1065
Random,500,StdQuickSort,0.535825,20243
Random,500,StdMergeSort,0.348584,4866
Random,500,3WayQuickSort,0.200584,6571
Random,500,StringMergeSort,0.523083,8689
Random,500,MSDRadixSort,0.621125,0
Random,500,MSDRadix+Quick,0.148825,1480
Random,600,StdQuickSort,0.627642,23977
Random,600,StdMergeSort,0.440092,6143
Random,600,3WayQuickSort,0.259092,8606
Random,600,StringMergeSort,0.677908,10908
Random,600,MSDRadixSort,0.737367,0
Random,600,MSDRadix+Quick,0.173917,2067
Random,700,StdQuickSort,0.765433,30011
Random,700,StdMergeSort,0.5047,7532
Random,700,3WayQuickSort,0.287908,9888
Random,700,StringMergeSort,0.823867,13214
Random,700,MSDRadixSort,0.846242,0
Random,700,MSDRadix+Quick,0.207567,2639
Random,800,StdQuickSort,0.860275,33058
Random,800,StdMergeSort,0.605675,8912
Random,800,3WayQuickSort,0.35495,11568
Random,800,StringMergeSort,0.934792,15537
Random,800,MSDRadixSort,0.955275,0
Random,800,MSDRadix+Quick,0.235242,3252
Random,900,StdQuickSort,1.03898,41813
Random,900,StdMergeSort,0.706675,10498
Random,900,3WayQuickSort,0.388625,12713
Random,900,StringMergeSort,1.10362,17925
Random,900,MSDRadixSort,1.02119,0
Random,900,MSDRadix+Quick,0.272575,3899
Random,1000,StdQuickSort,1.09749,43002
Random,1000,StdMergeSort,0.809316,12013
Random,1000,3WayQuickSort,0.4372,14723
Random,1000,StringMergeSort,1.21089,20280
Random,1000,MSDRadixSort,1.1654,0
Random,1000,MSDRadix+Quick,0.324966,4533
Random,1100,StdQuickSort,1.21089,46295
Random,1100,StdMergeSort,0.911208,13295
Random,1100,3WayQuickSort,0.492325,16183
Random,1100,StringMergeSort,1.35486,22874
Random,1100,MSDRadixSort,1.28377,0
Random,1100,MSDRadix+Quick,0.3531,5304
Random,1200,StdQuickSort,1.34075,51642
Random,1200,StdMergeSort,1.00207,14501
Random,1200,3WayQuickSort,0.551092,18724
Random,1200,StringMergeSort,1.4862,25300
Random,1200,MSDRadixSort,1.4076,0
Random,1200,MSDRadix+Quick,0.383875,6066
Random,1300,StdQuickSort,1.52679,59634
Random,1300,StdMergeSort,1.1077,16083
Random,1300,3WayQuickSort,0.655434,20835
Random,1300,StringMergeSort,1.65538,27941
Random,1300,MSDRadixSort,1.56413,0
Random,1300,MSDRadix+Quick,0.433167,6838
Random,1400,StdQuickSort,1.69012,63940
Random,1400,StdMergeSort,1.24649,17578
Random,1400,3WayQuickSort,0.700158,22274
Random,1400,StringMergeSort,1.84057,30483
Random,1400,MSDRadixSort,1.66678,0
Random,1400,MSDRadix+Quick,0.493817,7573
Random,1500,StdQuickSort,1.81517,67224
Random,1500,StdMergeSort,1.33493,19167
Random,1500,3WayQuickSort,0.728692,24491
Random,1500,StringMergeSort,2.02278,33109
Random,1500,MSDRadixSort,1.87817,0
Random,1500,MSDRadix+Quick,0.52355,8387
Random,1600,StdQuickSort,1.90645,72358
Random,1600,StdMergeSort,1.38501,20767
Random,1600,3WayQuickSort,0.784592,26018
Random,1600,StringMergeSort,2.11287,35828
Random,1600,MSDRadixSort,1.98107,0
Random,1600,MSDRadix+Quick,0.561492,9188
Random,1700,StdQuickSort,2.08623,75981
Random,1700,StdMergeSort,1.50572,22358
Random,1700,3WayQuickSort,0.847808,28118
